"Setup Grp. From","Plant","Plant Name","Setup Grp. To","Duration","SKU_from","SKU_to","volume_SKU_to","volume_SKU_from","weighted_mean","weighted_dev","Syrup #Components","SetupMin","SetupMax"
"200030","0280","Lüneburg","202723",120,"500MLPLBTN18X1 VIO BY APOLLINARIS","1LPLBTN6X1 VIO BY APOLLINARIS",219828,549288,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","202723",120,"500MLPLBTN18X1 VIO BY APOLLINARIS","1LPLBTN6X1 VIO BY APOLLINARIS",219828,1234224,2.09406719024521,2.91201956276756,NA,70,150
"200030","0280","Lüneburg","202723",120,"500MLPLBTN18X1 VIO BY APOLLINARIS","1LPLBTN6X1 VIO BY APOLLINARIS",219828,1234224,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","201633",70,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIO BY APOLINRISMDM(CARB)",1222632,549288,2.09406719024521,2.91201956276756,NA,70,150
"200030","0280","Lüneburg","201633",70,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIO BY APOLINRISMDM(CARB)",1222632,549288,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","201633",70,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIO BY APOLINRISMDM(CARB)",1222632,1234224,2.09406719024521,2.91201956276756,NA,70,150
"200030","0280","Lüneburg","201633",70,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIO BY APOLINRISMDM(CARB)",1222632,1234224,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","202725",120,"500MLPLBTN18X1 VIO BY APOLLINARIS","1LPLBTN6X1 VIO BY APOLINRISMDM(CARB)",102228,549288,2.09406719024521,2.91201956276756,NA,70,150
"200030","0280","Lüneburg","202725",120,"500MLPLBTN18X1 VIO BY APOLLINARIS","1LPLBTN6X1 VIO BY APOLINRISMDM(CARB)",102228,549288,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","202725",120,"500MLPLBTN18X1 VIO BY APOLLINARIS","1LPLBTN6X1 VIO BY APOLINRISMDM(CARB)",102228,1234224,2.09406719024521,2.91201956276756,NA,70,150
"200030","0280","Lüneburg","202725",120,"500MLPLBTN18X1 VIO BY APOLLINARIS","1LPLBTN6X1 VIO BY APOLINRISMDM(CARB)",102228,1234224,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","200479",150,"500MLPLBTN18X1 VIO BY APOLLINARIS","1.5LPLBTN6X40 VIO BY APOLLINARIS",36256,549288,2.09406719024521,2.91201956276756,NA,70,150
"200030","0280","Lüneburg","200479",150,"500MLPLBTN18X1 VIO BY APOLLINARIS","1.5LPLBTN6X40 VIO BY APOLLINARIS",36256,549288,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","200479",150,"500MLPLBTN18X1 VIO BY APOLLINARIS","1.5LPLBTN6X40 VIO BY APOLLINARIS",36256,1234224,2.09406719024521,2.91201956276756,NA,70,150
"200030","0280","Lüneburg","200479",150,"500MLPLBTN18X1 VIO BY APOLLINARIS","1.5LPLBTN6X40 VIO BY APOLLINARIS",36256,1234224,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","200032",120,"500MLPLBTN18X1 VIO BY APOLLINARIS","1.5LPLBTN6X1 VIO BY APOLLINARIS",1498728,549288,2.09406719024521,2.91201956276756,NA,70,150
